Model: twochannel 
Feature Type: xbow 
Spectrogram : mfcc, n_mel: 40 
--------------------
2022-06-10 11:10:53！！ 1 epoch, LR 0.001000, LOSS 35.205582, UAR 0.28, bestUAR 0.28
2022-06-10 11:11:05！！ 2 epoch, LR 0.000970, LOSS 33.449112, UAR 0.31, bestUAR 0.31
2022-06-10 11:11:17！！ 3 epoch, LR 0.000941, LOSS 31.395836, UAR 0.37, bestUAR 0.37
2022-06-10 11:11:29！！ 4 epoch, LR 0.000913, LOSS 30.124571, UAR 0.37, bestUAR 0.37
2022-06-10 11:11:42！！ 5 epoch, LR 0.000885, LOSS 28.407978, UAR 0.40, bestUAR 0.40
2022-06-10 11:11:55！！ 6 epoch, LR 0.000859, LOSS 27.267010, UAR 0.38, bestUAR 0.40
2022-06-10 11:12:07！！ 7 epoch, LR 0.000833, LOSS 26.596573, UAR 0.40, bestUAR 0.40
2022-06-10 11:12:20！！ 8 epoch, LR 0.000808, LOSS 26.323837, UAR 0.39, bestUAR 0.40
2022-06-10 11:12:32！！ 9 epoch, LR 0.000784, LOSS 25.710241, UAR 0.39, bestUAR 0.40
Model: twochannel 
Feature Type: xbow 
Spectrogram : mfcc, n_mel: 40 
--------------------
2022-06-10 11:12:57！！ 1 epoch, LR 0.001000, LOSS 35.182873, UAR 0.29, bestUAR 0.29
2022-06-10 11:13:09！！ 2 epoch, LR 0.000970, LOSS 33.179756, UAR 0.32, bestUAR 0.32
2022-06-10 11:13:22！！ 3 epoch, LR 0.000941, LOSS 31.670921, UAR 0.36, bestUAR 0.36
2022-06-10 11:13:34！！ 4 epoch, LR 0.000913, LOSS 29.976500, UAR 0.34, bestUAR 0.36
2022-06-10 11:13:46！！ 5 epoch, LR 0.000885, LOSS 29.009302, UAR 0.38, bestUAR 0.38
2022-06-10 11:13:59！！ 6 epoch, LR 0.000859, LOSS 27.936514, UAR 0.38, bestUAR 0.38
2022-06-10 11:14:11！！ 7 epoch, LR 0.000833, LOSS 27.093246, UAR 0.39, bestUAR 0.39
2022-06-10 11:14:23！！ 8 epoch, LR 0.000808, LOSS 26.110216, UAR 0.40, bestUAR 0.40
2022-06-10 11:14:36！！ 9 epoch, LR 0.000784, LOSS 25.466093, UAR 0.40, bestUAR 0.40
2022-06-10 11:14:49！！ 10 epoch, LR 0.000760, LOSS 24.471277, UAR 0.40, bestUAR 0.40
2022-06-10 11:15:00！！ 11 epoch, LR 0.000737, LOSS 24.472372, UAR 0.40, bestUAR 0.40
2022-06-10 11:15:12！！ 12 epoch, LR 0.000715, LOSS 23.938274, UAR 0.40, bestUAR 0.40
2022-06-10 11:15:24！！ 13 epoch, LR 0.000694, LOSS 23.673506, UAR 0.39, bestUAR 0.40
2022-06-10 11:15:37！！ 14 epoch, LR 0.000673, LOSS 23.262302, UAR 0.39, bestUAR 0.40
2022-06-10 11:15:49！！ 15 epoch, LR 0.000653, LOSS 23.025112, UAR 0.39, bestUAR 0.40
